district,monthly_ndvi_mean,year,month
anand,3.335323282904935e-05,2011,7
anand,4.181092354601594e-05,2011,8
anand,6.208937976284312e-05,2011,9
anand,5.349938575248065e-05,2011,10
anand,4.649381998188217e-05,2011,11
anand,4.806832840199182e-05,2011,12
anand,5.480565886583946e-05,2012,1
anand,5.5162427388593095e-05,2012,2
anand,4.216573663077262e-05,2012,3
anand,3.9832663800156166e-05,2012,4
anand,3.6802332268213605e-05,2012,5
anand,3.0469878046763585e-05,2012,6
anand,2.628125109519965e-05,2012,7
anand,3.616996464210144e-05,2012,8
anand,6.305528633300884e-05,2012,9
anand,5.422474810554543e-05,2012,10
anand,4.516551413671039e-05,2012,11
anand,4.818778054256678e-05,2012,12
anand,5.418418776214738e-05,2013,1
anand,5.621921110676506e-05,2013,2
anand,4.403099956600745e-05,2013,3
anand,4.088842915294171e-05,2013,4
anand,3.917688720979234e-05,2013,5
anand,3.548171771489745e-05,2013,6
anand,2.087992555997953e-05,2013,7
anand,5.8022368351571895e-05,2013,8
anand,6.344721151977746e-05,2013,9
anand,5.973394988974511e-05,2013,10
anand,4.77989889795982e-05,2013,11
anand,4.576179408198688e-05,2013,12
anand,5.7694797361696845e-05,2014,1
anand,5.81452637265348e-05,2014,2
anand,4.520544553191616e-05,2014,3
anand,4.067397414555429e-05,2014,4
anand,3.857697250887727e-05,2014,5
anand,2.9833157384855152e-05,2014,6
anand,2.974916408051872e-05,2014,7
anand,4.9039108152739e-05,2014,8
anand,6.202467619500155e-05,2014,9
anand,5.617630706863232e-05,2014,10
anand,4.699092737794231e-05,2014,11
anand,4.890292994982855e-05,2014,12
anand,5.876561974203555e-05,2015,1
anand,5.802051171367034e-05,2015,2
anand,4.8426807310791616e-05,2015,3
anand,4.205202075820144e-05,2015,4
anand,3.641421853016898e-05,2015,5
anand,3.1744352579783714e-05,2015,6
anand,3.1791690826655315e-05,2015,7
anand,5.332244765972091e-05,2015,8
anand,6.165510439903944e-05,2015,9
anand,5.416954714936307e-05,2015,10
anand,4.8080660609809125e-05,2015,11
anand,4.715019423269492e-05,2015,12
anand,5.539699806629803e-05,2016,1
anand,5.478999629508922e-05,2016,2
anand,4.451559854979114e-05,2016,3
anand,4.023992986935967e-05,2016,4
anand,3.6393084520122e-05,2016,5
anand,2.9809239893759976e-05,2016,6
anand,2.4486653264383813e-05,2016,7
anand,4.5847074213853226e-05,2016,8
anand,6.436498763539141e-05,2016,9
anand,5.2839530215124064e-05,2016,10
anand,4.620618052298941e-05,2016,11
anand,4.786791345495113e-05,2016,12
anand,5.81181936456802e-05,2017,1
anand,5.763874388882128e-05,2017,2
anand,4.356904426161075e-05,2017,3
anand,4.129342477599949e-05,2017,4
anand,3.738038784035943e-05,2017,5
anand,3.486156570204304e-05,2017,6
anand,3.067572718982467e-05,2017,7
anand,5.274484440554776e-05,2017,8
anand,6.241219677630898e-05,2017,9
anand,5.184385671731083e-05,2017,10
anand,4.6256478489659216e-05,2017,11
anand,5.094688230996915e-05,2017,12
anand,5.925182710244541e-05,2018,1
anand,5.372474981680363e-05,2018,2
anand,4.383019445562136e-05,2018,3
anand,4.129823243342884e-05,2018,4
anand,3.533464118561801e-05,2018,5
anand,2.886940846618755e-05,2018,6
anand,2.0285007764696607e-05,2018,7
anand,4.626687043297342e-05,2018,8
anand,6.397953401013778e-05,2018,9
anand,5.2661010297528126e-05,2018,10
anand,4.688982004000286e-05,2018,11
anand,4.829247904061278e-05,2018,12
anand,5.434062601975575e-05,2019,1
anand,5.723673303626746e-05,2019,2
anand,4.486201766586558e-05,2019,3
anand,4.044486564062108e-05,2019,4
anand,3.953351072000872e-05,2019,5
anand,3.2783021078139106e-05,2019,6
anand,2.4560332725881127e-05,2019,7
anand,4.718825252862233e-05,2019,8
